item,response,n,valid_n,percent
Comfortable with AI-supported feedback,Strongly disagree,6,170,3.5
Comfortable with AI-supported feedback,Somewhat disagree,10,170,5.9
Comfortable with AI-supported feedback,Neither agree nor disagree,30,170,17.6
Comfortable with AI-supported feedback,Somewhat agree,49,170,28.8
Comfortable with AI-supported feedback,Strongly agree,75,170,44.1
AI feedback can be as useful as human feedback,Strongly disagree,7,170,4.1
AI feedback can be as useful as human feedback,Somewhat disagree,20,170,11.8
AI feedback can be as useful as human feedback,Neither agree nor disagree,26,170,15.3
AI feedback can be as useful as human feedback,Somewhat agree,55,170,32.4
AI feedback can be as useful as human feedback,Strongly agree,62,170,36.5
