characteristic,response,n,percent,n_percent
Teaching experience,0-3 years,39,22.9,39 (22.9%)
Teaching experience,11-20 years,38,22.4,38 (22.4%)
Teaching experience,20+ years,43,25.3,43 (25.3%)
Teaching experience,4-10 years,50,29.4,50 (29.4%)
Gender,Female,166,97.6,166 (97.6%)
Gender,Male,3,1.8,3 (1.8%)
Gender,Prefer not to say,1,0.6,1 (0.6%)
Age group,31-40,44,25.9,44 (25.9%)
Age group,41-50,42,24.7,42 (24.7%)
Age group,50+,57,33.5,57 (33.5%)
Age group,<30,26,15.3,26 (15.3%)
Age group,Prefer not to say,1,0.6,1 (0.6%)
Achieved mastery on first submission,"No, I didn't.",13,7.6,13 (7.6%)
Achieved mastery on first submission,Unsure,8,4.7,8 (4.7%)
Achieved mastery on first submission,"Yes, I did.",149,87.6,149 (87.6%)
Prior AI experience,Extensive experience,15,8.8,15 (8.8%)
Prior AI experience,Minimal experience,53,31.2,53 (31.2%)
Prior AI experience,No experience,44,25.9,44 (25.9%)
Prior AI experience,Some experience,58,34.1,58 (34.1%)
Awareness that AI supported feedback,Not aware at all,28,16.5,28 (16.5%)
Awareness that AI supported feedback,Somewhat aware,33,19.4,33 (19.4%)
Awareness that AI supported feedback,"Yes, fully aware",109,64.1,109 (64.1%)
