model,n,number_of_parameters,log_likelihood,AIC,BIC,convergence_code,maximum_absolute_coefficient,maximum_standard_error,hessian_condition_number
Null model,169,3,-223.79821007404325,453.5964201480865,462.98611629285574,0,0.8574520283748213,0.22553459910193296,2.989228190150728
Background model,169,15,-216.7310436924317,463.4620873848634,510.4105681087095,0,1.3839369181370673,1.1954551609066315,282.6862224549537
Comfort-only model,169,18,-203.12733440126976,442.2546688025395,498.59284567115486,0,6.184366306191044,1.7096925804414074,1779.4216064786826
Usefulness-only model,169,18,-198.09772061378,432.19544122756,488.53361809617536,0,5.708103018705204,1.5119601226465278,1365.3642576914094
AI-attitude model,169,21,-195.51054874469324,433.0210974893865,498.74897050277104,0,7.5059219090876566,1.8763733958193087,3514.8896278241255
Full candidate model,169,24,-190.31964149996952,428.63928299993904,503.7568521580928,0,7.385048624254425,1.876043945382733,3366.932267382551
Teaching-adjusted model,169,33,-185.33769395612663,436.67538791225326,539.9620455047148,0,7.941444124339554,2.0972743360022457,4217.1496242476815
Awareness-factor model,169,27,-187.8501520959773,429.7003041919546,514.2075694948776,0,7.850887353273412,1.9511924425847276,3368.801013696882
Comfort-factor model,169,33,-180.0748674981352,426.1497349962704,529.4363925887319,0,38.40596254021303,1.2667339579786978,1915487805687256800
Usefulness-factor model,169,33,-181.7360052516352,429.4720105032704,532.7586680957318,0,18.076058414143713,1.4374456519656271,336014935948340
Three-item-composite model,169,24,-189.3352781857177,426.6705563714354,501.78812552958914,0,7.3238018340313245,1.871577731375409,3324.443525929844
