case_id,duration_seconds,teaching_experience,gender,age_group,first_submission_mastery,rubric_clear_aligned,feedback_specific_relevant,feedback_helped_improve,feedback_timely,overall_feedback_quality,most_valuable_text,improvement_text,prior_ai_experience,ai_awareness,ai_comfort,ai_as_useful_as_human,preferred_feedback_model,additional_ai_comments,duration_minutes,duration_flag,rubric_clear_aligned_num,feedback_specific_relevant_num,feedback_helped_improve_num,feedback_timely_num,feedback_experience,feedback_experience_3item,feedback_experience_maximum,feedback_experience_3item_maximum
L001,116,11-20 years,Female,31-40,"Yes, I did.",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Good,NA,NA,Some experience,"Yes, fully aware",Neither agree nor disagree,Somewhat disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.9333333333333331,1 to under 2 minutes,4,5,5,4,4.5,4.333333333333333,FALSE,FALSE
L002,101,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,NA,NA,No experience,Not aware at all,Somewhat agree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.6833333333333331,1 to under 2 minutes,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L003,587,20+ years,Female,50+,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Good,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,9.783333333333331,Not flagged,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L004,247,4-10 years,Male,41-50,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,It gave me good information in order to make sure I was being more specific and looking at things more in depth.,I think having the AI grade the first assignment would set a better standard for the other 3 lessons.,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,4.116666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L005,234,0-3 years,Female,<30,"No, I didn't.",Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Fair,"Can be effective if implemented correctly, save time for professors.","The system was touchy and I had to submit several times, even past the due date, which was frustrating.",Minimal experience,"Yes, fully aware",Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,3.9,Not flagged,5,3,3,4,3.75,4,FALSE,FALSE
L006,132,20+ years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Excellent,The feeback was very specific.,Nothing,No experience,"Yes, fully aware",Strongly agree,Neither agree nor disagree,I have no preference.,The response was very specific. I really liked that.,2.2,Not flagged,5,5,5,4,4.75,4.666666666666667,FALSE,FALSE
L007,103,4-10 years,Female,50+,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.7166666666666666,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L008,173,20+ years,Female,41-50,"Yes, I did.",Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Excellent,So you can learn from what you need improvement on,None,No experience,"Yes, fully aware",Strongly agree,Somewhat disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,2.8833333333333333,Not flagged,3,5,5,5,4.5,4.333333333333333,FALSE,FALSE
L009,1743,20+ years,Female,50+,Unsure,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Good,NA,The most important part that I considered needs improvement in this platform is for professors to provide feedback in a timely manner. This will help students improve in their assignments. When a student submit an assignment right away before the due date. The main goal is to have that feedback and make corrections on time learning from the experience. Is very stressful for students that are currently working and being responsible submitting their assignments on time and waiting on professor to finally send feedback the late night before is due. This means only providing one working day and due before midnight. In my scenario I will be teaching my students that day and waiting for dismissal to then be able to make corrections and waiting to see if my assignment received a mastery. Stressful making corrections the same day is due. But I did it because I wanted to learn to become a better teacher during my instruction. Regardless of the platform I push myself to achieve my personal goals.,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,I was happy to be received my feedback in a timely manner by the AI. This provided me with plenty of time to concentrate in the next assignment.,29.05,Not flagged,5,4,5,2,4,4,FALSE,FALSE
L010,391,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Excellent,"The most valuable aspect of the grading and feedback process for this assignment was the clear guidance I received on what I needed to improve. The feedback helped me understand exactly where I made mistakes, especially in formatting and calculations, and that allowed me to correct my work more accurately. I found it really helpful that the comments were specific because they showed me how to apply the concepts correctly instead of just telling me something was wrong. This made it easier for me to learn from the assignment and feel more confident in my work moving forward.","I think my learning experience would improve if the grading and feedback included a few more examples of the correct format or calculations. Sometimes I understand that something is wrong, but seeing a quick example helps me fully understand how to fix it. I would also benefit from a little more detailed explanation in certain areas, especially when it comes to formulas or steps in the process. Overall, clearer step-by-step guidance and examples would help me learn faster and feel more confident when completing future assignments.",Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,"I have found AI to be very helpful in my learning process, especially when I need extra explanations or examples outside of class. I use it to better understand concepts, check my work, and guide me step by step when I feel stuck. As a student balancing work and family, having that support available at any time has made a big difference for me. At the same time, I still rely on my instructor’s feedback to make sure I am meeting the course expectations. For me, AI works best as a support tool that helps me learn and improve, not as a replacement for instruction.",6.516666666666667,Not flagged,5,4,4,4,4.25,4.333333333333333,FALSE,FALSE
L011,158,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,Knowing what I did well and what ideas shared were good and why.,None,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,"Im pleased, went well.",2.6333333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L012,322,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,N/A,N/A,Some experience,"Yes, fully aware",Neither agree nor disagree,Neither agree nor disagree,I have no preference.,N/A,5.366666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
