variable,missing_n,total_n,missing_percent
additional_ai_comments,64,170,37.6
improvement_text,47,170,27.6
most_valuable_text,42,170,24.7
preferred_feedback_model,1,170,0.6
age_group,0,170,0
ai_as_useful_as_human,0,170,0
ai_awareness,0,170,0
ai_comfort,0,170,0
case_id,0,170,0
duration_seconds,0,170,0
feedback_helped_improve,0,170,0
feedback_specific_relevant,0,170,0
feedback_timely,0,170,0
first_submission_mastery,0,170,0
gender,0,170,0
overall_feedback_quality,0,170,0
prior_ai_experience,0,170,0
rubric_clear_aligned,0,170,0
teaching_experience,0,170,0
